판매처,위도,경도
옆커폰_창동점 (서울 도봉구 창동),37.653308,127.049327
옆커폰_성균관대점 (수원 장안구 율전동),37.298359,126.971905
(본사)박인규,37.56744,127.082286
따르릉_신내점 (서울 중랑구 신내동),37.606683,127.095483
다드림 모바일(경기 고양시 신원동),37.664108,126.889694
옆커폰_일산탄현점 (고양 일산서구 탄현동),37.69166,126.763538
옆커폰_아라역점 (인천 서구 원당동),37.594416,126.712148
찐폰_신흥점 (성남 수정구 신흥동),37.443942,127.142794
옆커폰_평택역점 (경기 평택시 평택동),36.993816,127.089337
따르릉_가좌점 (서울 서대문구 북가좌동),37.576434,126.91444
옆커폰_청라2호점 (인천 서구 청라동),37.532528,126.644909
옆커폰_가락시장점 (서울 송파구 가락동),37.493593,127.120047
옆커폰_개롱역점 (서울 송파구 가락동),37.497978,127.134264
옆커폰_시흥은계점 (경기 시흥시 은행동),37.437282,126.803026
옆커폰_신길점 (서울 영등포구 신길동),37.512269,126.916646
솜모바일 (서울 강동구 암사동),37.550428,127.126372
옆커폰_신촌점 (서울 서대문구 창천동),37.556591,126.933748
옆커폰_군포점 (경기 군포 당동),37.346928,126.943277
옆커폰_행신점 (고양 덕양구 행신동),37.615224,126.835654
옆커폰_병점점 (화성 병점구 병점동),37.208057,127.043447
따르릉_검단점(인천 서구 당하동),37.613547,126.685568
신정통신 (서울 양천구 신정동),37.524997,126.854855
그냥저냥 (경기 평택 비전동),36.992534,127.102168
안평정보통신 (경기 평택시 비전동),36.997059,127.102542
가족통신 (용인 기흥구 중동),37.27809,127.151675
시은모바일 (화성 동탄구 능동),37.216683,127.058086
청년폰_도봉점 (폰샵D) (경기 광명시 광명동),37.477775,126.85213
사랑방통신 (성남 수정구 신흥동),37.443718,127.152817
무브모바일 (서울 은평구 녹번동),37.601219,126.933342
정성텔레콤 (경기 의정부시 용현동),37.732566,127.08577
에스엠티 마곡역점 (서울 강서구 마곡동),37.559017,126.823919
나루모바일 (부천D) (인천 미추홀구 주안동),37.448312,126.67823
뉴_라인(강변TM),37.5356993,127.095765
옆커폰_신대방점 (서울 관악구 신림동),37.486648,126.913664
